MonthYear,Sales,Price Per Gallon,Unemployment_Rate
Jan-2005,1052224.0,1.831,5.3
Feb-2005,1244753.0,1.91,5.4
Mar-2005,1564938.0,2.079,5.2
Apr-2005,1493837.0,2.2430000000000003,5.2
May-2005,1488171.0,2.161,5.1
Jun-2005,1671401.0,2.156,5.0
Jul-2005,1795944.0,2.29,5.0
Aug-2005,1474130.0,2.4859999999999998,4.9
Sep-2005,1321156.0,2.903,5.0
Oct-2005,1139217.0,2.717,5.0
Nov-2005,1160447.0,2.2569999999999997,5.0
Dec-2005,1475649.0,2.185,4.9
Jan-2006,1136538.0,2.316,4.7
Feb-2006,1253271.0,2.28,4.8
Mar-2006,1519952.0,2.425,4.7
Apr-2006,1439311.0,2.742,4.7
May-2006,1478735.0,2.907,4.6
Jun-2006,1487688.0,2.885,4.6
Jul-2006,1480504.0,2.9810000000000003,4.7
Aug-2006,1478072.0,2.952,4.7
Sep-2006,1342543.0,2.555,4.5
Oct-2006,1205973.0,2.245,4.4
Nov-2006,1188344.0,2.229,4.5
Dec-2006,1419758.0,2.313,4.4
Jan-2007,1079891.0,2.24,4.6
Feb-2007,1244375.0,2.278,4.5
Mar-2007,1528582.0,2.563,4.4
Apr-2007,1326837.0,2.845,4.5
May-2007,1550609.0,3.1460000000000004,4.4
Jun-2007,1433282.0,3.056,4.6
Jul-2007,1302661.0,2.965,4.7
Aug-2007,1467601.0,2.786,4.6
Sep-2007,1305275.0,2.803,4.7
Oct-2007,1221485.0,2.803,4.7
Nov-2007,1170035.0,3.08,4.7
Dec-2007,1377542.0,3.0180000000000002,5.0
Jan-2008,1036540.0,3.043,5.0
Feb-2008,1162277.0,3.028,4.9
Mar-2008,1339158.0,3.2439999999999998,5.1
Apr-2008,1237336.0,3.458,5.0
May-2008,1383754.0,3.766,5.4
Jun-2008,1176765.0,4.053999999999999,5.6
Jul-2008,1126477.0,4.062,5.8
Aug-2008,1240785.0,3.779,6.1
Sep-2008,959127.0,3.7030000000000003,6.1
Oct-2008,829396.0,3.051,6.5
Nov-2008,737978.0,2.147,6.8
Dec-2008,884306.0,1.6869999999999998,7.3
Jan-2009,650608.0,1.788,7.8
Feb-2009,681676.0,1.923,8.3
Mar-2009,847002.0,1.959,8.7
Apr-2009,822746.0,2.049,9.0
May-2009,919295.0,2.266,9.4
Jun-2009,850654.0,2.6310000000000002,9.5
Jul-2009,991950.0,2.5269999999999997,9.5
Aug-2009,1254982.0,2.616,9.6
Sep-2009,740394.0,2.5540000000000003,9.8
Oct-2009,832953.0,2.551,10.0
Nov-2009,741826.0,2.6510000000000002,9.9
Dec-2009,1013629.0,2.6069999999999998,9.9
Jan-2010,693531.0,2.715,9.8
Feb-2010,774108.0,2.6439999999999997,9.8
Mar-2010,1059134.0,2.772,9.9
Apr-2010,976345.0,2.8480000000000003,9.9
May-2010,1096910.0,2.8360000000000003,9.6
Jun-2010,978154.0,2.7319999999999998,9.4
Jul-2010,1045915.0,2.7289999999999996,9.4
Aug-2010,993211.0,2.73,9.5
Sep-2010,953837.0,2.705,9.5
Oct-2010,940740.0,2.801,9.4
Nov-2010,863198.0,2.859,9.8
Dec-2010,1135333.0,2.9930000000000003,9.3
Jan-2011,815408.0,3.095,9.1
Feb-2011,987265.0,3.2110000000000003,9.0
Mar-2011,1238252.0,3.5610000000000004,9.0
Apr-2011,1149240.0,3.8,9.1
May-2011,1052417.0,3.906,9.0
Jun-2011,1044037.0,3.68,9.1
Jul-2011,1055231.0,3.65,9.0
Aug-2011,1067895.0,3.639,9.0
Sep-2011,1048158.0,3.611,9.0
Oct-2011,1015016.0,3.448,8.8
Nov-2011,986664.0,3.384,8.6
Dec-2011,1236129.0,3.266,8.5
Jan-2012,909806.0,3.38,8.3
Feb-2012,2115420.0,3.5789999999999997,8.3
Mar-2012,1398128.0,3.852,8.2
Apr-2012,1177478.0,3.9,8.2
May-2012,1327521.0,3.7319999999999998,8.2
Jun-2012,1276629.0,3.5389999999999997,8.2
Jul-2012,1141761.0,3.4389999999999996,8.2
Aug-2012,1274193.0,3.722,8.1
Sep-2012,1183825.0,3.8489999999999998,7.8
Oct-2012,1085804.0,3.7460000000000004,7.8
Nov-2012,1137862.0,3.452,7.7
Dec-2012,1347837.0,3.31,7.9
Jan-2013,1037967.0,3.319,8.0
Feb-2013,1185746.0,3.67,7.7
Mar-2013,1444773.0,3.7110000000000003,7.5
Apr-2013,1276318.0,3.57,7.6
May-2013,1434096.0,3.615,7.5
Jun-2013,1396038.0,3.6260000000000003,7.5
Jul-2013,1306885.0,3.591,7.3
Aug-2013,1494273.0,3.574,7.2
Sep-2013,1128124.0,3.532,7.2
Oct-2013,1198989.0,3.344,7.2
Nov-2013,1236413.0,3.2430000000000003,6.9
Dec-2013,1350623.0,3.2760000000000002,6.7
Jan-2014,1006049.0,3.313,6.6
Feb-2014,1186038.0,3.3560000000000003,6.7
Mar-2014,1529348.0,3.533,6.7
Apr-2014,1381300.0,3.661,6.2
May-2014,1598730.0,3.673,6.3
Jun-2014,1412565.0,3.6919999999999997,6.1
Jul-2014,1427029.0,3.611,6.2
Aug-2014,1575971.0,3.487,6.1
Sep-2014,1239405.0,3.406,5.9
Oct-2014,1275657.0,3.1710000000000003,5.7
Nov-2014,1291817.0,2.912,5.8
Dec-2014,1500108.0,2.543,5.6
Jan-2015,1149107.0,2.116,5.7
Feb-2015,1254709.0,2.2159999999999997,5.5
Mar-2015,1540724.0,2.464,5.4
Apr-2015,1449812.0,2.469,5.4
May-2015,1629328.0,2.718,5.6
Jun-2015,1471074.0,2.802,5.3
Jul-2015,1507307.0,2.7939999999999996,5.2
Aug-2015,1568896.0,2.636,5.1
Sep-2015,1435728.0,2.365,5.0
Oct-2015,1449359.0,2.29,5.0
Nov-2015,1313000.0,2.158,5.1
Dec-2015,1635926.0,2.0380000000000003,5.0
Jan-2016,1147705.0,1.949,4.8
Feb-2016,1340801.0,1.764,4.9
Mar-2016,1590701.0,1.969,5.0
Apr-2016,1501379.0,2.113,5.1
May-2016,1520463.0,2.2680000000000002,4.8
Jun-2016,1508662.0,2.366,4.9
Jul-2016,1517151.0,2.239,4.8
Aug-2016,1508095.0,2.178,4.9
Sep-2016,1428354.0,2.219,5.0
Oct-2016,1368064.0,2.249,4.9
Nov-2016,1375086.0,2.182,4.7
Dec-2016,1694258.0,2.254,4.7
Jan-2017,1140841.0,2.349,4.7
Feb-2017,1331716.0,2.3040000000000003,4.6
Mar-2017,1553142.0,2.325,4.4
Apr-2017,1424793.0,2.417,4.5
May-2017,1517197.0,2.391,4.4
Jun-2017,1472495.0,2.347,4.3
Jul-2017,1415051.0,2.3,4.3
Aug-2017,1480526.0,2.38,4.4
Sep-2017,1523050.0,2.645,4.2
Oct-2017,1353586.0,2.505,4.1
Nov-2017,1397105.0,2.5639999999999996,4.2
Dec-2017,1603063.0,2.477,4.1
Jan-2018,1156581.0,2.555,4.0
Feb-2018,1305932.0,2.5869999999999997,4.1
Mar-2018,1657716.0,2.591,4.0
Apr-2018,1364619.0,2.7569999999999997,4.0
May-2018,1576158.0,2.9010000000000002,3.8
Jun-2018,1549950.0,2.891,4.0
Jul-2018,1373655.0,2.8489999999999998,3.8
Aug-2018,1500121.0,2.8360000000000003,3.8
Sep-2018,1440820.0,2.8360000000000003,3.7
Oct-2018,1393137.0,2.86,3.8
Nov-2018,1399187.0,2.647,3.8
Dec-2018,1605973.0,2.366,3.9
Jan-2019,1172653.0,2.248,4.0
Feb-2019,1257589.0,2.309,3.8
Mar-2019,1552126.0,2.516,3.8
Apr-2019,1355548.0,2.798,3.7
May-2019,1606260.0,2.859,3.7
Jun-2019,1462664.0,2.716,3.6
Jul-2019,1417418.0,2.74,3.6
Aug-2019,1628577.0,2.6210000000000004,3.7
Sep-2019,1282712.0,2.592,3.5
Oct-2019,1384010.0,2.627,3.6
Nov-2019,1445173.0,2.5980000000000003,3.6
Dec-2019,1459164.0,2.555,3.6
Jan-2020,1157415.0,2.548,3.5
Feb-2020,1434716.0,2.4419999999999997,3.5
Mar-2020,944850.0,2.234,4.4
Apr-2020,563122.0,1.841,14.8
May-2020,1181756.0,1.87,13.3
Jun-2020,1214706.0,2.082,11.1
