MonthYear,Year,Sales,Price Per Gallon,Unemployment_Rate,Steel_Price_Index,New_Auto_Price_Index,Used_Auto_Price_Index
Jan-2005,2005,1052224.0,1.831,5.3,181.2,138.5,138.6
Feb-2005,2005,1244753.0,1.91,5.4,179.8,138.6,138.4
Mar-2005,2005,1564938.0,2.079,5.2,176.4,138.3,138.3
Apr-2005,2005,1493837.0,2.2430000000000003,5.2,176.9,138.3,138.4
May-2005,2005,1488171.0,2.161,5.1,170.7,138.7,138.8
Jun-2005,2005,1671401.0,2.156,5.0,162.0,138.6,139.3
Jul-2005,2005,1795944.0,2.29,5.0,160.0,137.3,139.9
Aug-2005,2005,1474130.0,2.4859999999999998,4.9,161.8,136.5,140.1
Sep-2005,2005,1321156.0,2.903,5.0,169.2,137.1,140.3
Oct-2005,2005,1139217.0,2.717,5.0,168.0,137.7,140.2
Nov-2005,2005,1160447.0,2.2569999999999997,5.0,173.9,137.7,140.3
Dec-2005,2005,1475649.0,2.185,4.9,173.8,137.5,140.2
Jan-2006,2006,1136538.0,2.316,4.7,174.7,138.0,140.3
Feb-2006,2006,1253271.0,2.28,4.8,177.2,138.1,140.4
Mar-2006,2006,1519952.0,2.425,4.7,178.1,137.9,140.8
Apr-2006,2006,1439311.0,2.742,4.7,180.7,137.9,141.0
May-2006,2006,1478735.0,2.907,4.6,183.7,137.7,141.1
Jun-2006,2006,1487688.0,2.885,4.6,189.0,137.7,141.0
Jul-2006,2006,1480504.0,2.9810000000000003,4.7,193.9,137.8,140.7
Aug-2006,2006,1478072.0,2.952,4.7,192.2,137.6,140.4
Sep-2006,2006,1342543.0,2.555,4.5,195.3,137.6,139.9
Oct-2006,2006,1205973.0,2.245,4.4,194.9,137.4,139.0
Nov-2006,2006,1188344.0,2.229,4.5,189.0,136.6,138.3
Dec-2006,2006,1419758.0,2.313,4.4,189.6,136.4,137.2
Jan-2007,2007,1079891.0,2.24,4.6,190.0,136.437,136.16899999999998
Feb-2007,2007,1244375.0,2.278,4.5,195.9,136.201,135.533
