MonthYear,Price Per Gallon
Jul-2001,3.136
Jun-2001,3.064
May-2001,2.985
Apr-2001,2.858
Mar-2001,2.81
Feb-2001,2.501
Jan-2001,2.334
Dec-2001,2.195
Nov-2001,2.108
Oct-2001,2.158
Sep-2001,2.183
Aug-2001,2.182
Jul-2001,2.183
Jun-2001,2.082
May-2001,1.87
Apr-2001,1.841
Mar-2001,2.234
Feb-2001,2.442
Jan-2001,2.548
Dec-2001,2.555
Nov-2001,2.598
Oct-2001,2.627
Sep-2001,2.592
Aug-2001,2.621
Jul-2001,2.74
Jun-2001,2.716
May-2001,2.859
Apr-2001,2.798
Mar-2001,2.516
Feb-2001,2.309
Jan-2001,2.248
Dec-2001,2.366
Nov-2001,2.647
Oct-2001,2.86
Sep-2001,2.836
Aug-2001,2.836
Jul-2001,2.849
Jun-2001,2.891
May-2001,2.901
Apr-2001,2.757
Mar-2001,2.591
Feb-2001,2.587
Jan-2001,2.555
Dec-2001,2.477
Nov-2001,2.564
Oct-2001,2.505
Sep-2001,2.645
Aug-2001,2.38
Jul-2001,2.3
Jun-2001,2.347
May-2001,2.391
Apr-2001,2.417
Mar-2001,2.325
Feb-2001,2.304
Jan-2001,2.349
Dec-2001,2.254
Nov-2001,2.182
Oct-2001,2.249
Sep-2001,2.219
Aug-2001,2.178
Jul-2001,2.239
Jun-2001,2.366
May-2001,2.268
Apr-2001,2.113
Mar-2001,1.969
Feb-2001,1.764
Jan-2001,1.949
Dec-2001,2.038
Nov-2001,2.158
Oct-2001,2.29
Sep-2001,2.365
Aug-2001,2.636
Jul-2001,2.794
Jun-2001,2.802
May-2001,2.718
Apr-2001,2.469
Mar-2001,2.464
Feb-2001,2.216
Jan-2001,2.116
Dec-2001,2.543
Nov-2001,2.912
Oct-2001,3.171
Sep-2001,3.406
Aug-2001,3.487
Jul-2001,3.611
Jun-2001,3.692
May-2001,3.673
Apr-2001,3.661
Mar-2001,3.533
Feb-2001,3.356
Jan-2001,3.313
Dec-2001,3.276
Nov-2001,3.243
Oct-2001,3.344
Sep-2001,3.532
Aug-2001,3.574
Jul-2001,3.591
Jun-2001,3.626
May-2001,3.615
Apr-2001,3.57
Mar-2001,3.711
Feb-2001,3.67
Jan-2001,3.319
Dec-2001,3.31
Nov-2001,3.452
Oct-2001,3.746
Sep-2001,3.849
Aug-2001,3.722
Jul-2001,3.439
Jun-2001,3.539
May-2001,3.732
Apr-2001,3.9
Mar-2001,3.852
Feb-2001,3.579
Jan-2001,3.38
Dec-2001,3.266
Nov-2001,3.384
Oct-2001,3.448
Sep-2001,3.611
Aug-2001,3.639
Jul-2001,3.65
Jun-2001,3.68
May-2001,3.906
Apr-2001,3.8
Mar-2001,3.561
Feb-2001,3.211
Jan-2001,3.095
Dec-2001,2.993
Nov-2001,2.859
Oct-2001,2.801
Sep-2001,2.705
Aug-2001,2.73
Jul-2001,2.729
Jun-2001,2.732
May-2001,2.836
Apr-2001,2.848
Mar-2001,2.772
Feb-2001,2.644
Jan-2001,2.715
-200,2.607
-200,2.651
-200,2.551
-200,2.554
-200,2.616
-200,2.527
-200,2.631
-200,2.266
-200,2.049
-200,1.959
-200,1.923
-200,1.788
-200,1.687
-200,2.147
-200,3.051
-200,3.703
-200,3.779
-200,4.062
-200,4.054
-200,3.766
-200,3.458
-200,3.244
-200,3.028
-200,3.043
-200,3.018
-200,3.08
-200,2.803
-200,2.803
-200,2.786
-200,2.965
-200,3.056
-200,3.146
-200,2.845
-200,2.563
-200,2.278
-200,2.24
-200,2.313
-200,2.229
-200,2.245
-200,2.555
-200,2.952
-200,2.981
-200,2.885
-200,2.907
-200,2.742
-200,2.425
-200,2.28
-200,2.316
-200,2.185
-200,2.257
-200,2.717
-200,2.903
-200,2.486
-200,2.29
-200,2.156
-200,2.161
-200,2.243
-200,2.079
-200,1.91
-200,1.831
-200,1.841
-200,1.979
-200,2
-200,1.87
-200,1.878
-200,1.911
-200,1.969
-200,1.983
-200,1.798
-200,1.736
-200,1.648
-200,1.572
-200,1.479
-200,1.512
-200,1.564
-200,1.679
-200,1.62
-200,1.513
-200,1.493
-200,1.497
-200,1.589
-200,1.693
-200,1.613
-200,1.458
-200,1.386
-200,1.419
-200,1.445
-200,1.4
-200,1.396
-200,1.397
-200,1.382
-200,1.392
-200,1.397
-200,1.249
-200,1.114
-200,1.107
-200,1.086
-200,1.171
-200,1.315
-200,1.522
-200,1.421
-200,1.421
-200,1.616
-200,1.702
-200,1.552
-200,1.409
-200,1.45
-200,1.447
-200,1.443
-200,1.517
-200,1.532
-200,1.55
-200,1.465
-200,1.551
-200,1.633
-200,1.487
-200,1.465
-200,1.516
-200,1.377
-200,1.289
-200,1.273
-200,1.251
-200,1.244
-200,1.256
-200,1.221
-200,1.158
-200,1.114
-200,1.131
-200,1.131
-200,0.982
-200,0.921
-200,0.939
-200,0.945
-200,0.995
-200,1.019
-200,1.009
-200,1.026
-200,1.055
-200,1.064
-200,1.064
-200,1.03
-200,1.017
-200,1.049
-200,1.086
-200,1.131
-200,1.171
-200,1.197
-200,1.231
-200,1.224
-200,1.174
-200,1.198
-200,1.2
-200,1.199
-200,1.205
-200,1.23
-200,1.236
-200,1.235
-200,1.232
-200,1.204
-200,1.202
-200,1.207
-200,1.227
-200,1.256
-200,1.279
-200,1.231
-200,1.137
-200,1.089
-200,1.09
-200,1.071
-200,1.062
-200,1.087
-200,1.111
-200,1.123
-200,1.154
-200,1.192
-200,1.178
-200,1.111
-200,1.072
-200,1.073
-200,1.082
-200,1.091
-200,1.116
-200,1.114
-200,1.144
-200,1.155
-200,1.106
-200,1.078
-200,1.047
-200,1.027
-200,1.008
-200,1.009
-200,0.998
-200,1.014
-200,1.066
-200,1.092
-200,1.05
-200,1.062
-200,1.078
-200,1.097
-200,1.1
-200,1.078
-200,1.052
-200,1.054
-200,1.062
-200,1.078
-200,1.111
-200,1.114
-200,1.122
-200,1.122
-200,1.137
-200,1.145
-200,1.107
-200,1.052
