MonthYear,New_Auto_Price_Index
Jan-1953,46.3
Feb-1953,46.8
Mar-1953,46.9
Apr-1953,47.3
May-1953,47.5
Jun-1953,47.6
Jul-1953,48.4
Aug-1953,48.8
Sep-1953,49.5
Oct-1953,48.1
Nov-1953,45.2
Dec-1953,45
Jan-1954,47.6
Feb-1954,47.3
Mar-1954,47.2
Apr-1954,48
May-1954,48.3
Jun-1954,48.1
Jul-1954,45.6
Aug-1954,45.9
Sep-1954,45.9
Oct-1954,43.1
Nov-1954,45.5
Dec-1954,45.6
Jan-1955,45.7
Feb-1955,45.7
Mar-1955,45.5
Apr-1955,44.4
May-1955,44.5
Jun-1955,45
Jul-1955,44.8
Aug-1955,44.4
Sep-1955,44.1
Oct-1955,45
Nov-1955,45
Dec-1955,44.5
Jan-1956,44.5
Feb-1956,44.7
Mar-1956,45.3
Apr-1956,45.1
May-1956,45.4
Jun-1956,45.4
Jul-1956,45.7
Aug-1956,46.1
Sep-1956,46.3
Oct-1956,49.3
Nov-1956,47.5
Dec-1956,48.1
Jan-1957,48.4
Feb-1957,48.5
Mar-1957,48.4
Apr-1957,48.8
May-1957,48.6
Jun-1957,48.5
Jul-1957,48.6
Aug-1957,48.8
Sep-1957,48.9
Oct-1957,46.2
Nov-1957,49.6
Dec-1957,49.1
Jan-1958,49
Feb-1958,49.3
Mar-1958,49.2
Apr-1958,49.4
May-1958,49.3
Jun-1958,49.5
Jul-1958,49.9
Aug-1958,50.1
Sep-1958,50.8
Oct-1958,50.4
Nov-1958,51.8
Dec-1958,52.3
Jan-1959,51.9
Feb-1959,52
Mar-1959,52.2
Apr-1959,52.1
May-1959,52.3
Jun-1959,52.4
Jul-1959,52.4
Aug-1959,52.3
Sep-1959,52.5
Oct-1959,52.4
Nov-1959,52.3
Dec-1959,52.4
Jan-1960,52.1
Feb-1960,52.1
Mar-1960,51.6
Apr-1960,51.9
May-1960,51.9
Jun-1960,51.6
Jul-1960,51.8
Aug-1960,51.7
Sep-1960,51.2
Oct-1960,51.3
Nov-1960,50.7
Dec-1960,51
Jan-1961,51.3
Feb-1961,51.3
Mar-1961,51.5
Apr-1961,51.5
May-1961,51.6
Jun-1961,51.6
Jul-1961,51.7
Aug-1961,51.9
Sep-1961,52.2
Oct-1961,51.8
Nov-1961,51
Dec-1961,51.2
Jan-1962,51.4
Feb-1962,51.2
Mar-1962,51.4
Apr-1962,51.4
May-1962,51.4
Jun-1962,51.5
Jul-1962,51.5
Aug-1962,51.6
Sep-1962,51.8
Oct-1962,51.1
Nov-1962,51.2
Dec-1962,50.9
Jan-1963,50.9
Feb-1963,50.9
Mar-1963,50.9
Apr-1963,50.8
May-1963,51
Jun-1963,51.3
Jul-1963,51.1
Aug-1963,51
Sep-1963,51.5
Oct-1963,51.4
Nov-1963,51
Dec-1963,50.7
Jan-1964,51.1
Feb-1964,51.2
Mar-1964,51.1
Apr-1964,51.1
May-1964,51.1
Jun-1964,51
Jul-1964,51.1
Aug-1964,50.9
Sep-1964,50.9
Oct-1964,50.5
Nov-1964,50.7
Dec-1964,50.5
Jan-1965,50.7
Feb-1965,50.6
Mar-1965,50.6
Apr-1965,50.6
May-1965,50.5
Jun-1965,49.3
Jul-1965,49.4
Aug-1965,49.5
Sep-1965,49.8
Oct-1965,48.7
Nov-1965,48.8
Dec-1965,49
Jan-1966,48.6
Feb-1966,48.7
Mar-1966,48.7
Apr-1966,49
May-1966,48.9
Jun-1966,49
Jul-1966,49.2
Aug-1966,49
Sep-1966,48.9
Oct-1966,49
Nov-1966,49.1
Dec-1966,48.9
Jan-1967,48.6
Feb-1967,48.6
Mar-1967,48.7
Apr-1967,48.8
May-1967,48.9
Jun-1967,49
Jul-1967,49.3
Aug-1967,49.6
Sep-1967,49.9
Oct-1967,50.4
Nov-1967,50.3
Dec-1967,50.3
Jan-1968,50.2
Feb-1968,50.3
Mar-1968,50.3
Apr-1968,50.4
May-1968,50.5
Jun-1968,50.6
Jul-1968,50.7
Aug-1968,50.8
Sep-1968,51.1
Oct-1968,51.3
Nov-1968,51.5
Dec-1968,51
Jan-1969,50.8
Feb-1969,51
Mar-1969,51.2
Apr-1969,51.2
May-1969,51.3
Jun-1969,51.4
Jul-1969,51.6
Aug-1969,51.8
Sep-1969,51.6
Oct-1969,52
Nov-1969,52.2
Dec-1969,52.1
Jan-1970,52
Feb-1970,52.1
Mar-1970,52.3
Apr-1970,52.4
May-1970,52.4
Jun-1970,52.4
Jul-1970,52.6
Aug-1970,53
Sep-1970,53.5
Oct-1970,54.3
Nov-1970,55
Dec-1970,55.7
Jan-1971,56.2
Feb-1971,56.3
Mar-1971,56.1
Apr-1971,56.1
May-1971,56.2
Jun-1971,56.3
Jul-1971,56.6
Aug-1971,54.7
Sep-1971,53.6
Oct-1971,53.6
Nov-1971,53.6
Dec-1971,54
Jan-1972,54.7
Feb-1972,54.7
Mar-1972,54.9
Apr-1972,55
May-1972,55
Jun-1972,55
Jul-1972,55.1
Aug-1972,55.3
Sep-1972,55.6
Oct-1972,54.1
Nov-1972,54
Dec-1972,54.2
Jan-1973,54.1
Feb-1973,54.3
Mar-1973,54.5
Apr-1973,54.7
May-1973,54.8
Jun-1973,54.8
Jul-1973,55.1
Aug-1973,55.2
Sep-1973,55.2
Oct-1973,55
Nov-1973,55
Dec-1973,54.8
Jan-1974,55.1
Feb-1974,55.2
Mar-1974,55.5
Apr-1974,55.8
May-1974,56.6
Jun-1974,57.5
Jul-1974,58.6
Aug-1974,59
Sep-1974,59.8
Oct-1974,60.9
Nov-1974,61
Dec-1974,61
Jan-1975,60.3
Feb-1975,61.1
Mar-1975,62.7
Apr-1975,63
May-1975,62.7
Jun-1975,62.9
Jul-1975,62.9
Aug-1975,63.3
Sep-1975,63.7
Oct-1975,64
Nov-1975,64.2
Dec-1975,65.3
Jan-1976,65.5
Feb-1976,65.8
Mar-1976,66.1
Apr-1976,66.3
May-1976,66.4
Jun-1976,66.5
Jul-1976,66.7
Aug-1976,67.1
Sep-1976,67.6
Oct-1976,68.7
Nov-1976,68.4
Dec-1976,68.6
Jan-1977,68.8
Feb-1977,68.9
Mar-1977,69.3
Apr-1977,69.4
May-1977,69.7
Jun-1977,70
Jul-1977,70.3
Aug-1977,70.6
Sep-1977,70.9
Oct-1977,72.1
Nov-1977,72.6
Dec-1977,73.6
Jan-1978,74.2
Feb-1978,74.5
Mar-1978,74.8
Apr-1978,74.7
May-1978,74.9
Jun-1978,75.4
Jul-1978,75.7
Aug-1978,76
Sep-1978,76.6
Oct-1978,77.3
Nov-1978,77.9
Dec-1978,78.6
Jan-1979,79
Feb-1979,79.8
Mar-1979,80.3
Apr-1979,81.2
May-1979,81.6
Jun-1979,81.9
Jul-1979,82.4
Aug-1979,82.7
Sep-1979,82.9
Oct-1979,83.2
Nov-1979,83.8
Dec-1979,84.2
Jan-1980,85.2
Feb-1980,86.3
Mar-1980,86.5
Apr-1980,87.4
May-1980,88
Jun-1980,87.9
Jul-1980,88.5
Aug-1980,89.8
Sep-1980,90.5
Oct-1980,90.3
Nov-1980,90.6
Dec-1980,90.6
Jan-1981,90.9
Feb-1981,90.9
Mar-1981,90.4
Apr-1981,91.9
May-1981,93.9
Jun-1981,94.7
Jul-1981,95.1
Aug-1981,94.8
Sep-1981,95.1
Oct-1981,95.6
Nov-1981,96.1
Dec-1981,96.8
Jan-1982,96.9
Feb-1982,96.3
Mar-1982,96
Apr-1982,96.8
May-1982,97.2
Jun-1982,97.7
Jul-1982,98.1
Aug-1982,98.3
Sep-1982,98.3
Oct-1982,98
Nov-1982,97.9
Dec-1982,98.3
Jan-1983,98.6
Feb-1983,98.9
Mar-1983,99
Apr-1983,99.2
May-1983,99.5
Jun-1983,99.7
Jul-1983,99.8
Aug-1983,100.3
Sep-1983,100.6
Oct-1983,100.8
Nov-1983,101
Dec-1983,101.3
Jan-1984,101.4
Feb-1984,101.6
Mar-1984,101.9
Apr-1984,102.1
May-1984,102.3
Jun-1984,102.5
Jul-1984,102.8
Aug-1984,103
Sep-1984,103.3
Oct-1984,103.5
Nov-1984,103.6
Dec-1984,103.7
Jan-1985,104.4
Feb-1985,104.9
Mar-1985,105.3
Apr-1985,105.5
May-1985,105.7
Jun-1985,106
Jul-1985,106.2
Aug-1985,106.4
Sep-1985,106.8
Oct-1985,106.8
Nov-1985,107.3
Dec-1985,107.4
Jan-1986,107.8
Feb-1986,108.1
Mar-1986,108.4
Apr-1986,109
May-1986,109.9
Jun-1986,110.7
Jul-1986,111.3
Aug-1986,111.6
Sep-1986,111.8
Oct-1986,112.3
Nov-1986,113.1
Dec-1986,113.4
Jan-1987,113.9
Feb-1987,112.9
Mar-1987,112.9
Apr-1987,113.3
May-1987,113.8
Jun-1987,114.3
Jul-1987,114.9
Aug-1987,115
Sep-1987,115.3
Oct-1987,115.4
Nov-1987,115.8
Dec-1987,115.4
Jan-1988,115.1
Feb-1988,115.1
Mar-1988,115.1
Apr-1988,115.4
May-1988,115.8
Jun-1988,116.3
Jul-1988,116.6
Aug-1988,117.1
Sep-1988,117.9
Oct-1988,117.9
Nov-1988,118
Dec-1988,118
Jan-1989,118.3
Feb-1989,118.5
Mar-1989,118.7
Apr-1989,118.9
May-1989,119.1
Jun-1989,119.1
Jul-1989,119.1
Aug-1989,119
Sep-1989,118.8
Oct-1989,119.3
Nov-1989,120.3
Dec-1989,120.9
Jan-1990,121.3
Feb-1990,121.2
Mar-1990,120.9
Apr-1990,120.8
May-1990,120.9
Jun-1990,120.8
Jul-1990,120.8
Aug-1990,121.1
Sep-1990,121.2
Oct-1990,121.8
Nov-1990,122.5
Dec-1990,123.4
Jan-1991,124.2
Feb-1991,124.8
Mar-1991,125.3
Apr-1991,125.5
May-1991,125.7
Jun-1991,126
Jul-1991,126.3
Aug-1991,126.4
Sep-1991,126.4
Oct-1991,126.7
Nov-1991,127
Dec-1991,127.5
Jan-1992,127.6
Feb-1992,127.9
Mar-1992,128.3
Apr-1992,128.6
May-1992,129
Jun-1992,129.3
Jul-1992,129.3
Aug-1992,129.8
Sep-1992,130
Oct-1992,130
Nov-1992,130.4
Dec-1992,130.5
Jan-1993,130.9
Feb-1993,131.1
Mar-1993,131.3
Apr-1993,131.7
May-1993,132.2
Jun-1993,132.3
Jul-1993,132.9
Aug-1993,133.4
Sep-1993,133.6
Oct-1993,134.2
Nov-1993,134.6
Dec-1993,134.9
Jan-1994,135.3
Feb-1994,135.7
Mar-1994,136.1
Apr-1994,136.4
May-1994,137
Jun-1994,137.5
Jul-1994,138.1
Aug-1994,138.4
Sep-1994,138.9
Oct-1994,139.2
Nov-1994,139.2
Dec-1994,139.4
Jan-1995,139.8
Feb-1995,139.9
Mar-1995,140
Apr-1995,140.6
May-1995,140.9
Jun-1995,141.1
Jul-1995,141
Aug-1995,141.1
Sep-1995,141.3
Oct-1995,141.6
Nov-1995,141.9
Dec-1995,142.1
Jan-1996,142.4
Feb-1996,142.8
Mar-1996,143
Apr-1996,143
May-1996,143.2
Jun-1996,143.6
Jul-1996,143.8
Aug-1996,144
Sep-1996,144.5
Oct-1996,144.5
Nov-1996,144.6
Dec-1996,144.7
Jan-1997,144.6
Feb-1997,144.6
Mar-1997,144.7
Apr-1997,144.6
May-1997,144.4
Jun-1997,144.3
Jul-1997,144.3
Aug-1997,144.2
Sep-1997,144
Oct-1997,144.1
Nov-1997,143.8
Dec-1997,143.3
Jan-1998,143.4
Feb-1998,143.6
Mar-1998,143.8
Apr-1998,143.8
May-1998,143.1
Jun-1998,142.8
Jul-1998,143.4
Aug-1998,144.1
Sep-1998,143.6
Oct-1998,143.2
Nov-1998,143.2
Dec-1998,143.3
Jan-1999,143.5
Feb-1999,143
Mar-1999,142.8
Apr-1999,142.8
May-1999,142.8
Jun-1999,142.8
Jul-1999,142.7
Aug-1999,142.7
Sep-1999,142.8
Oct-1999,143
Nov-1999,142.8
Dec-1999,142.6
Jan-2000,142.4
Feb-2000,142.2
Mar-2000,142.7
Apr-2000,143
May-2000,143.2
Jun-2000,143.2
Jul-2000,143.3
Aug-2000,143.2
Sep-2000,142.7
Oct-2000,142.2
Nov-2000,142.3
Dec-2000,142.6
Jan-2001,142.5
Feb-2001,142.4
Mar-2001,142.3
Apr-2001,142.3
May-2001,142.2
Jun-2001,142.1
Jul-2001,142.1
Aug-2001,141.6
Sep-2001,141.4
Oct-2001,141.6
Nov-2001,142.2
Dec-2001,142.5
Jan-2002,141.5
Feb-2002,140.2
Mar-2002,140.1
Apr-2002,140
May-2002,139.8
Jun-2002,139.6
Jul-2002,139.6
Aug-2002,139.4
Sep-2002,139.9
Oct-2002,140
Nov-2002,140.1
Dec-2002,139.8
Jan-2003,138.5
Feb-2003,138.2
Mar-2003,138.7
Apr-2003,138.3
May-2003,138.1
Jun-2003,137.8
Jul-2003,137.6
Aug-2003,138
Sep-2003,137.6
Oct-2003,137.1
Nov-2003,137.2
Dec-2003,137.2
Jan-2004,136.8
Feb-2004,137.3
Mar-2004,137.3
Apr-2004,137.3
May-2004,137.5
Jun-2004,137.7
Jul-2004,136.8
Aug-2004,135.9
Sep-2004,136
Oct-2004,136.4
Nov-2004,137.6
Dec-2004,138.1
Jan-2005,138.5
Feb-2005,138.6
Mar-2005,138.3
Apr-2005,138.3
May-2005,138.7
Jun-2005,138.6
Jul-2005,137.3
Aug-2005,136.5
Sep-2005,137.1
Oct-2005,137.7
Nov-2005,137.7
Dec-2005,137.5
Jan-2006,138
Feb-2006,138.1
Mar-2006,137.9
Apr-2006,137.9
May-2006,137.7
Jun-2006,137.7
Jul-2006,137.8
Aug-2006,137.6
Sep-2006,137.6
Oct-2006,137.4
Nov-2006,136.6
Dec-2006,136.4
Jan-2007,136.437
Feb-2007,136.201
Mar-2007,136.481
Apr-2007,136.578
May-2007,136.323
Jun-2007,136.171
Jul-2007,136.236
Aug-2007,136.438
Sep-2007,136.051
Oct-2007,135.831
Nov-2007,136.154
Dec-2007,136.098
Jan-2008,135.926
Feb-2008,135.405
Mar-2008,134.953
Apr-2008,134.726
May-2008,134.646
Jun-2008,134.66
Jul-2008,134.821
Aug-2008,134.162
Sep-2008,133.496
Oct-2008,132.925
Nov-2008,132.497
Dec-2008,132.069
Jan-2009,132.669
Feb-2009,133.415
Mar-2009,133.866
Apr-2009,134.367
May-2009,134.987
Jun-2009,135.729
Jul-2009,136.298
Aug-2009,134.771
Sep-2009,135.524
Oct-2009,137.891
Nov-2009,139.067
Dec-2009,138.928
Jan-2010,138.321
Feb-2010,138.117
Mar-2010,137.879
Apr-2010,137.639
May-2010,137.482
Jun-2010,137.409
Jul-2010,137.484
Aug-2010,137.782
Sep-2010,138.264
Oct-2010,138.442
Nov-2010,138.469
Dec-2010,138.678
Jan-2011,138.938
Feb-2011,139.725
Mar-2011,140.42
Apr-2011,140.878
May-2011,142.014
Jun-2011,142.706
Jul-2011,142.856
Aug-2011,142.848
Sep-2011,142.94
Oct-2011,143.095
Nov-2011,143.035
Dec-2011,143.163
Jan-2012,143.466
Feb-2012,143.838
Mar-2012,143.901
Apr-2012,143.898
May-2012,143.942
Jun-2012,144.073
Jul-2012,144.13
Aug-2012,144.311
Sep-2012,144.359
Oct-2012,144.547
Nov-2012,145.024
Dec-2012,145.318
Jan-2013,145.533
Feb-2013,145.121
Mar-2013,145.26
Apr-2013,145.378
May-2013,145.379
Jun-2013,145.854
Jul-2013,146.024
Aug-2013,146.066
Sep-2013,146.381
Oct-2013,146.233
Nov-2013,146.171
Dec-2013,146.042
Jan-2014,145.624
Feb-2014,145.625
Mar-2014,145.646
Apr-2014,145.986
May-2014,146.14
Jun-2014,146.099
Jul-2014,146.255
Aug-2014,146.464
Sep-2014,146.717
Oct-2014,146.928
Nov-2014,146.959
Dec-2014,146.886
Jan-2015,146.104
Feb-2015,146.316
Mar-2015,146.672
Apr-2015,147.024
May-2015,147.327
Jun-2015,147.489
Jul-2015,147.462
Aug-2015,147.41
Sep-2015,147.611
Oct-2015,147.481
Nov-2015,147.466
Dec-2015,147.272
Jan-2016,146.706
Feb-2016,147.374
Mar-2016,147.443
Apr-2016,147.213
May-2016,147.175
Jun-2016,147.046
Jul-2016,147.303
Aug-2016,147.335
Sep-2016,147.482
Oct-2016,147.784
Nov-2016,147.737
Dec-2016,147.686
Jan-2017,148.092
Feb-2017,148.083
Mar-2017,147.766
Apr-2017,147.807
May-2017,147.571
Jun-2017,147.077
Jul-2017,146.348
Aug-2017,146.309
Sep-2017,146.011
Oct-2017,145.746
Nov-2017,146.171
Dec-2017,146.867
Jan-2018,146.254
Feb-2018,145.913
Mar-2018,145.961
Apr-2018,145.431
May-2018,145.895
Jun-2018,146.38
Jul-2018,146.684
Aug-2018,146.748
Sep-2018,146.693
Oct-2018,146.47
Nov-2018,146.557
Dec-2018,146.47
Jan-2019,146.317
Feb-2019,146.329
Mar-2019,147.016
Apr-2019,147.194
May-2019,147.201
Jun-2019,147.234
Jul-2019,147.194
Aug-2019,147.057
Sep-2019,146.835
Oct-2019,146.609
Nov-2019,146.457
Dec-2019,146.56
Jan-2020,146.498
Feb-2020,146.885
Mar-2020,146.364
Apr-2020,146.393
May-2020,146.785
Jun-2020,146.949
Jul-2020,147.931
Aug-2020,147.983
Sep-2020,148.36
Oct-2020,148.858
Nov-2020,148.834
Dec-2020,149.385
Jan-2021,148.611
Feb-2021,148.587
Mar-2021,148.55
Apr-2021,149.267
May-2021,151.693
Jun-2021,154.68
