MonthYear,Steel_Price_Index
Jan-1926,11.4
Feb-1926,11.4
Mar-1926,11.4
Apr-1926,11.3
May-1926,11.3
Jun-1926,11.2
Jul-1926,11.2
Aug-1926,11.2
Sep-1926,11.3
Oct-1926,11.3
Nov-1926,11.3
Dec-1926,11.2
Jan-1927,10.9
Feb-1927,10.7
Mar-1927,10.7
Apr-1927,10.7
May-1927,10.7
Jun-1927,10.7
Jul-1927,10.6
Aug-1927,10.6
Sep-1927,10.6
Oct-1927,10.5
Nov-1927,10.5
Dec-1927,10.4
Jan-1928,10.5
Feb-1928,10.6
Mar-1928,10.6
Apr-1928,10.6
May-1928,10.6
Jun-1928,10.5
Jul-1928,10.5
Aug-1928,10.5
Sep-1928,10.5
Oct-1928,10.6
Nov-1928,10.6
Dec-1928,10.7
Jan-1929,10.7
Feb-1929,10.7
Mar-1929,10.7
Apr-1929,10.8
May-1929,10.8
Jun-1929,10.8
Jul-1929,10.8
Aug-1929,10.7
Sep-1929,10.7
Oct-1929,10.7
Nov-1929,10.6
Dec-1929,10.6
Jan-1930,10.4
Feb-1930,10.3
Mar-1930,10.3
Apr-1930,10.2
May-1930,10.2
Jun-1930,10.1
Jul-1930,10
Aug-1930,9.9
Sep-1930,9.9
Oct-1930,9.9
Nov-1930,9.8
Dec-1930,9.8
Jan-1931,9.6
Feb-1931,9.7
Mar-1931,9.6
Apr-1931,9.5
May-1931,9.5
Jun-1931,9.4
Jul-1931,9.4
Aug-1931,9.3
Sep-1931,9.3
Oct-1931,9.2
Nov-1931,9.2
Dec-1931,9.1
Jan-1932,9
Feb-1932,9
Mar-1932,9
Apr-1932,9.1
May-1932,9
Jun-1932,9
Jul-1932,8.7
Aug-1932,8.9
Sep-1932,9
Oct-1932,9.1
Nov-1932,9
Dec-1932,8.9
Jan-1933,8.8
Feb-1933,8.7
Mar-1933,8.6
Apr-1933,8.6
May-1933,8.5
Jun-1933,8.6
Jul-1933,8.8
Aug-1933,8.9
Sep-1933,9.1
Oct-1933,9.3
Nov-1933,9.2
Dec-1933,9.4
Jan-1934,9.4
Feb-1934,9.7
Mar-1934,9.8
Apr-1934,9.9
May-1934,10.2
Jun-1934,10
Jul-1934,9.8
Aug-1934,9.8
Sep-1934,9.8
Oct-1934,9.7
Nov-1934,9.7
Dec-1934,9.7
Jan-1935,9.7
Feb-1935,9.7
Mar-1935,9.7
Apr-1935,9.7
May-1935,9.8
