MonthYear,Unemployment_Rate
7-1,4.6
8-1,4.9
9-1,5
10-1,5.3
11-1,5.5
12-1,5.7
1-2,5.7
2-2,5.7
3-2,5.7
4-2,5.9
5-2,5.8
6-2,5.8
7-2,5.8
8-2,5.7
9-2,5.7
10-2,5.7
11-2,5.9
12-2,6
1-3,5.8
2-3,5.9
3-3,5.9
4-3,6
5-3,6.1
6-3,6.3
7-3,6.2
8-3,6.1
9-3,6.1
10-3,6
11-3,5.8
12-3,5.7
1-4,5.7
2-4,5.6
3-4,5.8
4-4,5.6
5-4,5.6
6-4,5.6
7-4,5.5
8-4,5.4
9-4,5.4
10-4,5.5
11-4,5.4
12-4,5.4
1-5,5.3
2-5,5.4
3-5,5.2
4-5,5.2
5-5,5.1
6-5,5
7-5,5
8-5,4.9
9-5,5
10-5,5
11-5,5
12-5,4.9
1-6,4.7
2-6,4.8
3-6,4.7
4-6,4.7
5-6,4.6
6-6,4.6
7-6,4.7
8-6,4.7
9-6,4.5
10-6,4.4
11-6,4.5
12-6,4.4
1-7,4.6
2-7,4.5
3-7,4.4
4-7,4.5
5-7,4.4
6-7,4.6
7-7,4.7
8-7,4.6
9-7,4.7
10-7,4.7
11-7,4.7
12-7,5
1-8,5
2-8,4.9
3-8,5.1
4-8,5
5-8,5.4
6-8,5.6
7-8,5.8
8-8,6.1
9-8,6.1
10-8,6.5
11-8,6.8
12-8,7.3
1-9,7.8
2-9,8.3
3-9,8.7
4-9,9
5-9,9.4
6-9,9.5
7-9,9.5
8-9,9.6
9-9,9.8
10-9,10
11-9,9.9
12-9,9.9
1-10,9.8
2-10,9.8
3-10,9.9
4-10,9.9
5-10,9.6
6-10,9.4
7-10,9.4
8-10,9.5
9-10,9.5
10-10,9.4
11-10,9.8
12-10,9.3
1-11,9.1
2-11,9
3-11,9
4-11,9.1
5-11,9
6-11,9.1
7-11,9
8-11,9
9-11,9
10-11,8.8
11-11,8.6
12-11,8.5
1-12,8.3
2-12,8.3
3-12,8.2
4-12,8.2
5-12,8.2
6-12,8.2
7-12,8.2
8-12,8.1
9-12,7.8
10-12,7.8
11-12,7.7
12-12,7.9
1-13,8
2-13,7.7
3-13,7.5
4-13,7.6
5-13,7.5
6-13,7.5
7-13,7.3
8-13,7.2
9-13,7.2
10-13,7.2
11-13,6.9
12-13,6.7
1-14,6.6
2-14,6.7
3-14,6.7
4-14,6.2
5-14,6.3
6-14,6.1
7-14,6.2
8-14,6.1
9-14,5.9
10-14,5.7
11-14,5.8
12-14,5.6
1-15,5.7
2-15,5.5
3-15,5.4
4-15,5.4
5-15,5.6
6-15,5.3
7-15,5.2
8-15,5.1
9-15,5
10-15,5
11-15,5.1
12-15,5
1-16,4.8
2-16,4.9
3-16,5
4-16,5.1
5-16,4.8
6-16,4.9
7-16,4.8
8-16,4.9
9-16,5
10-16,4.9
11-16,4.7
12-16,4.7
1-17,4.7
2-17,4.6
3-17,4.4
4-17,4.5
5-17,4.4
6-17,4.3
7-17,4.3
8-17,4.4
9-17,4.2
10-17,4.1
11-17,4.2
12-17,4.1
1-18,4
2-18,4.1
3-18,4
4-18,4
5-18,3.8
6-18,4
7-18,3.8
8-18,3.8
9-18,3.7
10-18,3.8
11-18,3.8
12-18,3.9
1-19,4
2-19,3.8
3-19,3.8
4-19,3.7
5-19,3.7
6-19,3.6
7-19,3.6
8-19,3.7
9-19,3.5
10-19,3.6
11-19,3.6
12-19,3.6
1-20,3.5
2-20,3.5
3-20,4.4
4-20,14.8
5-20,13.3
6-20,11.1
7-20,10.2
8-20,8.4
9-20,7.8
10-20,6.9
11-20,6.7
12-20,6.7
1-21,6.3
2-21,6.2
3-21,6
4-21,6.1
5-21,5.8
6-21,5.9
7-21,5.4
