MonthYear,Unemployment_Rate
Jul-2001,4.6
Aug-2001,4.9
Sep-2001,5
Oct-2001,5.3
Nov-2001,5.5
Dec-2001,5.7
Jan-2001,5.7
Feb-2001,5.7
Mar-2001,5.7
Apr-2001,5.9
May-2001,5.8
Jun-2001,5.8
Jul-2001,5.8
Aug-2001,5.7
Sep-2001,5.7
Oct-2001,5.7
Nov-2001,5.9
Dec-2001,6
Jan-2001,5.8
Feb-2001,5.9
Mar-2001,5.9
Apr-2001,6
May-2001,6.1
Jun-2001,6.3
Jul-2001,6.2
Aug-2001,6.1
Sep-2001,6.1
Oct-2001,6
Nov-2001,5.8
Dec-2001,5.7
Jan-2001,5.7
Feb-2001,5.6
Mar-2001,5.8
Apr-2001,5.6
May-2001,5.6
Jun-2001,5.6
Jul-2001,5.5
Aug-2001,5.4
Sep-2001,5.4
Oct-2001,5.5
Nov-2001,5.4
Dec-2001,5.4
Jan-2001,5.3
Feb-2001,5.4
Mar-2001,5.2
Apr-2001,5.2
May-2001,5.1
Jun-2001,5
Jul-2001,5
Aug-2001,4.9
Sep-2001,5
Oct-2001,5
Nov-2001,5
Dec-2001,4.9
Jan-2001,4.7
Feb-2001,4.8
Mar-2001,4.7
Apr-2001,4.7
May-2001,4.6
Jun-2001,4.6
Jul-2001,4.7
Aug-2001,4.7
Sep-2001,4.5
Oct-2001,4.4
Nov-2001,4.5
Dec-2001,4.4
Jan-2001,4.6
Feb-2001,4.5
Mar-2001,4.4
Apr-2001,4.5
May-2001,4.4
Jun-2001,4.6
Jul-2001,4.7
Aug-2001,4.6
Sep-2001,4.7
Oct-2001,4.7
Nov-2001,4.7
Dec-2001,5
Jan-2001,5
Feb-2001,4.9
Mar-2001,5.1
Apr-2001,5
May-2001,5.4
Jun-2001,5.6
Jul-2001,5.8
Aug-2001,6.1
Sep-2001,6.1
Oct-2001,6.5
Nov-2001,6.8
Dec-2001,7.3
Jan-2001,7.8
Feb-2001,8.3
Mar-2001,8.7
Apr-2001,9
May-2001,9.4
Jun-2001,9.5
Jul-2001,9.5
Aug-2001,9.6
Sep-2001,9.8
Oct-2001,10
Nov-2001,9.9
Dec-2001,9.9
Jan-2001,9.8
Feb-2001,9.8
Mar-2001,9.9
Apr-2001,9.9
May-2001,9.6
Jun-2001,9.4
Jul-2001,9.4
Aug-2001,9.5
Sep-2001,9.5
Oct-2001,9.4
Nov-2001,9.8
Dec-2001,9.3
Jan-2001,9.1
Feb-2001,9
Mar-2001,9
Apr-2001,9.1
May-2001,9
Jun-2001,9.1
Jul-2001,9
Aug-2001,9
Sep-2001,9
Oct-2001,8.8
Nov-2001,8.6
Dec-2001,8.5
Jan-2001,8.3
Feb-2001,8.3
Mar-2001,8.2
Apr-2001,8.2
May-2001,8.2
Jun-2001,8.2
Jul-2001,8.2
Aug-2001,8.1
Sep-2001,7.8
Oct-2001,7.8
Nov-2001,7.7
Dec-2001,7.9
Jan-2001,8
Feb-2001,7.7
Mar-2001,7.5
Apr-2001,7.6
May-2001,7.5
Jun-2001,7.5
Jul-2001,7.3
Aug-2001,7.2
Sep-2001,7.2
Oct-2001,7.2
Nov-2001,6.9
Dec-2001,6.7
Jan-2001,6.6
Feb-2001,6.7
Mar-2001,6.7
Apr-2001,6.2
May-2001,6.3
Jun-2001,6.1
Jul-2001,6.2
Aug-2001,6.1
Sep-2001,5.9
Oct-2001,5.7
Nov-2001,5.8
Dec-2001,5.6
Jan-2001,5.7
Feb-2001,5.5
Mar-2001,5.4
Apr-2001,5.4
May-2001,5.6
Jun-2001,5.3
Jul-2001,5.2
Aug-2001,5.1
Sep-2001,5
Oct-2001,5
Nov-2001,5.1
Dec-2001,5
Jan-2001,4.8
Feb-2001,4.9
Mar-2001,5
Apr-2001,5.1
May-2001,4.8
Jun-2001,4.9
Jul-2001,4.8
Aug-2001,4.9
Sep-2001,5
Oct-2001,4.9
Nov-2001,4.7
Dec-2001,4.7
Jan-2001,4.7
Feb-2001,4.6
Mar-2001,4.4
Apr-2001,4.5
May-2001,4.4
Jun-2001,4.3
Jul-2001,4.3
Aug-2001,4.4
Sep-2001,4.2
Oct-2001,4.1
Nov-2001,4.2
Dec-2001,4.1
Jan-2001,4
Feb-2001,4.1
Mar-2001,4
Apr-2001,4
May-2001,3.8
Jun-2001,4
Jul-2001,3.8
Aug-2001,3.8
Sep-2001,3.7
Oct-2001,3.8
Nov-2001,3.8
Dec-2001,3.9
Jan-2001,4
Feb-2001,3.8
Mar-2001,3.8
Apr-2001,3.7
May-2001,3.7
Jun-2001,3.6
Jul-2001,3.6
Aug-2001,3.7
Sep-2001,3.5
Oct-2001,3.6
Nov-2001,3.6
Dec-2001,3.6
Jan-2001,3.5
Feb-2001,3.5
Mar-2001,4.4
Apr-2001,14.8
May-2001,13.3
Jun-2001,11.1
Jul-2001,10.2
Aug-2001,8.4
Sep-2001,7.8
Oct-2001,6.9
Nov-2001,6.7
Dec-2001,6.7
Jan-2001,6.3
Feb-2001,6.2
Mar-2001,6
Apr-2001,6.1
May-2001,5.8
Jun-2001,5.9
Jul-2001,5.4
