MonthYear,Used_Auto_Price_Index
Jan-1953,28.7
Feb-1953,28.7
Mar-1953,28.4
Apr-1953,28.3
May-1953,27.5
Jun-1953,26.9
Jul-1953,26.5
Aug-1953,26
Sep-1953,25.5
Oct-1953,25.2
Nov-1953,24.8
Dec-1953,24.7
Jan-1954,24.2
Feb-1954,23.5
Mar-1954,23.1
Apr-1954,22.9
May-1954,22.7
Jun-1954,22.8
Jul-1954,22.6
Aug-1954,22.5
Sep-1954,22.4
Oct-1954,22.2
Nov-1954,22.1
Dec-1954,21.9
Jan-1955,22.4
Feb-1955,22.4
Mar-1955,22.4
Apr-1955,21.3
May-1955,21.7
Jun-1955,21.7
Jul-1955,21.5
Aug-1955,21.2
Sep-1955,21.2
Oct-1955,20.9
Nov-1955,20.8
Dec-1955,20.5
Jan-1956,20.1
Feb-1956,20.5
Mar-1956,20
Apr-1956,20
May-1956,20.6
Jun-1956,20.2
Jul-1956,20.5
Aug-1956,20.8
Sep-1956,20.8
Oct-1956,21.4
Nov-1956,21.5
Dec-1956,21.7
Jan-1957,22.3
Feb-1957,22.3
Mar-1957,23.1
Apr-1957,23.2
May-1957,23.3
Jun-1957,23.2
Jul-1957,23.1
Aug-1957,23.3
Sep-1957,23.4
Oct-1957,23.5
Nov-1957,23.7
Dec-1957,23.5
Jan-1958,23.2
Feb-1958,23.3
Mar-1958,23.1
Apr-1958,23.3
May-1958,23.5
Jun-1958,23.4
Jul-1958,23.9
Aug-1958,24.1
Sep-1958,24.7
Oct-1958,24.9
Nov-1958,25.2
Dec-1958,25.6
Jan-1959,25.9
Feb-1959,26.1
Mar-1959,26.4
Apr-1959,26.6
May-1959,26.6
Jun-1959,26.8
Jul-1959,27.3
Aug-1959,27.2
Sep-1959,27.5
Oct-1959,27
Nov-1959,27
Dec-1959,27.2
Jan-1960,27.2
Feb-1960,27.8
Mar-1960,26.5
Apr-1960,25.5
May-1960,25.4
Jun-1960,25.2
Jul-1960,24.7
Aug-1960,24.5
Sep-1960,23.6
Oct-1960,23.7
Nov-1960,23.1
Dec-1960,23.7
